package,owner,shallow,deep
Referenceables,tkf,Any[],Any[]
RegionTrees,rdeits,"[""IterTools"", ""StaticArrays""]",String[]
Registrator,JuliaRegistries,"[""Mux"", ""TimeToLive"", ""GitHub"", ""HTTP"", ""RegistryTools"", ""ZMQ"", ""JSON"", ""DataStructures"", ""GitForge"", ""MbedTLS"", ""AutoHashEquals"", ""Mustache""]","[""TableTraits"", ""OrderedCollections"", ""Lazy"", ""IteratorInterfaceExtensions"", ""Compat"", ""Pidfile"", ""Requires"", ""JSON2"", ""Missings"", ""MbedTLS_jll"", ""AssetRegistry"", ""WeakRefStrings"", ""Hiccup"", ""DataAPI"", ""CSTParser"", ""Parsers"", ""Tokenize"", ""BinaryProvider"", ""IniFile"", ""DataValueInterfaces"", ""Tables"", ""WebSockets"", ""MacroTools"", ""ZeroMQ_jll""]"
RegistryCI,JuliaRegistries,"[""GitHub"", ""HTTP"", ""TimeZones"", ""JSON"", ""RegistryTools"", ""GitCommand""]","[""Mocking"", ""ReplMaker"", ""WeakRefStrings"", ""Nullables"", ""Compat"", ""EzXML"", ""XML2_jll"", ""LibCURL_jll"", ""DataAPI"", ""AutoHashEquals"", ""Parsers"", ""ExprTools"", ""Expat_jll"", ""LibSSH2_jll"", ""Zlib_jll"", ""BinaryProvider"", ""Missings"", ""IniFile"", ""Git_jll"", ""MbedTLS"", ""MbedTLS_jll"", ""Gettext_jll"", ""OpenSSL_jll"", ""PCRE2_jll"", ""Libiconv_jll""]"
RegistryTools,JuliaRegistries,"[""AutoHashEquals""]",String[]
RegressionTables,jmboehm,"[""StatsBase"", ""StatsModels"", ""Compat"", ""FixedEffectModels"", ""Distributions"", ""Formatting"", ""GLM""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""CEnum"", ""RecipesBase"", ""DataFrames"", ""SpecialFunctions"", ""Requires"", ""AbstractFFTs"", ""OpenSpecFun_jll"", ""PooledArrays"", ""Missings"", ""Combinatorics"", ""LLVM"", ""Polynomials"", ""CUDAnative"", ""MKL_jll"", ""PDMats"", ""FFTW_jll"", ""CUDAdrv"", ""CommonSubexpressions"", ""StaticArrays"", ""Parsers"", ""NaNMath"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""FixedEffects"", ""VersionParsing"", ""DiffRules"", ""MacroTools"", ""NamedTuples"", ""RecursiveArrayTools"", ""FillArrays"", ""FFTW"", ""ForwardDiff"", ""Arpack"", ""OffsetArrays"", ""OrderedCollections"", ""DataStructures"", ""CuArrays"", ""CategoricalArrays"", ""StatsFuns"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""Adapt"", ""TimerOutputs"", ""CodecZlib"", ""ArrayInterface"", ""GPUArrays"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""JSON"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""NNlib"", ""Reexport"", ""URIParser"", ""ShiftedArrays"", ""DataStreams"", ""OpenBLAS_jll"", ""BinaryProvider"", ""DiffResults"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""Crayons"", ""Arpack_jll""]"
RegularExpressions,bramtayl,"[""Compat""]",String[]
RegularizedLeastSquares,tknopp,"[""Documenter"", ""SparsityOperators"", ""LinearOperators"", ""IterativeSolvers"", ""ProgressMeter"", ""Wavelets"", ""Reexport"", ""FFTW""]","[""DSP"", ""FastClosures"", ""Compat"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""AbstractFFTs"", ""TimerOutputs"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""MKL_jll"", ""FFTW_jll"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""JSON"", ""DocStringExtensions"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""URIParser"", ""BinaryProvider"", ""IterTools"", ""VersionParsing"", ""Crayons""]"
Reinforce,JuliaML,"[""RecipesBase"", ""StatsBase"", ""Distributions"", ""LearnBase"", ""Reexport"", ""LearningStrategies""]","[""PDMats"", ""SortingAlgorithms"", ""Arpack"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""Rmath_jll"", ""StatsFuns"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""URIParser"", ""OpenBLAS_jll"", ""Rmath"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""Arpack_jll"", ""FillArrays""]"
ReinforcementLearning,JuliaReinforcementLearning,"[""ReinforcementLearningEnvironments"", ""PGFPlotsX"", ""ReinforcementLearningBase"", ""ReinforcementLearningCore"", ""PyCall"", ""ReinforcementLearningZoo"", ""StatsBase"", ""DataStructures"", ""Compat"", ""Flux"", ""ReinforcementLearningEnvironmentDiscrete"", ""Colors"", ""FileIO"", ""JLD2"", ""DataFrames"", ""Parameters"", ""Requires"", ""Reexport""]","[""BeliefUpdaters"", ""ColorVectorSpace"", ""RecipesBase"", ""AbstractFFTs"", ""FixedPointNumbers"", ""PooledArrays"", ""Polynomials"", ""ImageCore"", ""MKL_jll"", ""ImageDistances"", ""CommonSubexpressions"", ""Images"", ""IntervalSets"", ""Zlib_jll"", ""FillArrays"", ""PaddedViews"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""ImageFiltering"", ""POMDPs"", ""ZipFile"", ""Media"", ""ColorTypes"", ""GPUArrays"", ""NamedTupleTools"", ""Inflate"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""TiledIteration"", ""AbstractTrees"", ""InvertedIndices"", ""Lazy"", ""IndirectArrays"", ""CEnum"", ""Missings"", ""ProgressMeter"", ""StaticArrays"", ""RangeArrays"", ""UnicodePlots"", ""Tokenize"", ""Interpolations"", ""VersionParsing"", ""CoordinateTransformations"", ""POMDPModelTools"", ""OffsetArrays"", ""EllipsisNotation"", ""CategoricalArrays"", ""GZip"", ""StatsFuns"", ""Measures"", ""ImageTransformations"", ""TranscodingStreams"", ""GR"", ""TimerOutputs"", ""CodecZlib"", ""Tracker"", ""ArnoldiMethod"", ""POMDPModels"", ""IntelOpenMP_jll"", ""ColorSchemes"", ""Distances"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""IterTools"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Crayons"", ""POMDPPolicies"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""POMDPSimulators"", ""Clustering"", ""Zygote"", ""QuartzImageIO"", ""IRTools"", ""ArrayLayouts"", ""LLVM"", ""CUDAnative"", ""FFTW_jll"", ""Parsers"", ""Graphics"", ""NearestNeighbors"", ""MacroTools"", ""NamedTuples"", ""CustomUnitRanges"", ""ImageMorphology"", ""CuArrays"", ""Adapt"", ""Zstd_jll"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""MappedArrays"", ""DataValueInterfaces"", ""ZygoteRules"", ""Arpack_jll"", ""IdentityRanges"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""ImageMagick"", ""Calculus"", ""SpecialFunctions"", ""Distributions"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""PDMats"", ""CUDAdrv"", ""ImageShow"", ""DocStringExtensions"", ""NaNMath"", ""Rmath"", ""DiffRules"", ""libpng_jll"", ""FFTW"", ""ForwardDiff"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""DualNumbers"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""DataStreams"", ""LightGraphs"", ""DiffResults"", ""Libtiff_jll"", ""Compose"", ""Tables"", ""ComputationalResources"", ""Ratios"", ""DefaultApplication"", ""ArgCheck""]"
ReinforcementLearningBase,JuliaReinforcementLearning,"[""CUDAapi"", ""CuArrays"", ""Distributions"", ""MacroTools""]","[""ForwardDiff"", ""Arpack"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""CEnum"", ""StatsFuns"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""Requires"", ""Adapt"", ""AbstractFFTs"", ""TimerOutputs"", ""OpenSpecFun_jll"", ""Missings"", ""LLVM"", ""Polynomials"", ""CUDAnative"", ""GPUArrays"", ""MKL_jll"", ""PDMats"", ""FFTW_jll"", ""CUDAdrv"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""CommonSubexpressions"", ""JSON"", ""StatsBase"", ""Rmath_jll"", ""QuadGK"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Parsers"", ""NNlib"", ""Reexport"", ""NaNMath"", ""URIParser"", ""OpenBLAS_jll"", ""Rmath"", ""Tokenize"", ""BinaryProvider"", ""DiffResults"", ""VersionParsing"", ""DiffRules"", ""Crayons"", ""Arpack_jll"", ""FillArrays"", ""FFTW""]"
ReinforcementLearningCore,JuliaReinforcementLearning,"[""Distributions"", ""ReinforcementLearningBase"", ""CUDAapi"", ""StatsBase"", ""CuArrays"", ""Flux"", ""ProgressMeter"", ""MacroTools"", ""GPUArrays"", ""Zygote"", ""FillArrays"", ""Adapt"", ""Reexport""]","[""RecipesBase"", ""AbstractFFTs"", ""IRTools"", ""FixedPointNumbers"", ""ArrayLayouts"", ""LLVM"", ""Polynomials"", ""CUDAnative"", ""MKL_jll"", ""FFTW_jll"", ""CommonSubexpressions"", ""Parsers"", ""Zlib_jll"", ""Colors"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""ZipFile"", ""Media"", ""ColorTypes"", ""SortingAlgorithms"", ""JSON"", ""CSTParser"", ""URIParser"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""ZygoteRules"", ""Arpack_jll"", ""AbstractTrees"", ""Lazy"", ""CEnum"", ""SpecialFunctions"", ""Requires"", ""OpenSpecFun_jll"", ""Missings"", ""PDMats"", ""CUDAdrv"", ""StaticArrays"", ""NaNMath"", ""Rmath"", ""Tokenize"", ""VersionParsing"", ""DiffRules"", ""FFTW"", ""ForwardDiff"", ""GZip"", ""StatsFuns"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""TimerOutputs"", ""CodecZlib"", ""Tracker"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""DiffResults"", ""Crayons""]"
ReinforcementLearningEnvironmentAtari,JuliaReinforcementLearning,"[""ArcadeLearningEnvironment"", ""GR"", ""Compat"", ""ReinforcementLearningBase"", ""Parameters"", ""Reexport"", ""ReinforcementLearning""]","[""BeliefUpdaters"", ""ColorVectorSpace"", ""RecipesBase"", ""AbstractFFTs"", ""FixedPointNumbers"", ""PooledArrays"", ""Polynomials"", ""FileIO"", ""ImageCore"", ""MKL_jll"", ""ImageDistances"", ""CommonSubexpressions"", ""Images"", ""IntervalSets"", ""Zlib_jll"", ""FillArrays"", ""PaddedViews"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""ImageFiltering"", ""POMDPs"", ""ZipFile"", ""Media"", ""ColorTypes"", ""ReinforcementLearningEnvironmentDiscrete"", ""GPUArrays"", ""NamedTupleTools"", ""Inflate"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""TiledIteration"", ""AbstractTrees"", ""InvertedIndices"", ""Lazy"", ""IndirectArrays"", ""CEnum"", ""Requires"", ""Missings"", ""ProgressMeter"", ""ReinforcementLearningZoo"", ""Flux"", ""StaticArrays"", ""RangeArrays"", ""UnicodePlots"", ""Tokenize"", ""Interpolations"", ""VersionParsing"", ""CoordinateTransformations"", ""POMDPModelTools"", ""OffsetArrays"", ""EllipsisNotation"", ""CategoricalArrays"", ""GZip"", ""StatsFuns"", ""Measures"", ""JLD2"", ""ImageTransformations"", ""TranscodingStreams"", ""TimerOutputs"", ""CodecZlib"", ""Tracker"", ""ArnoldiMethod"", ""POMDPModels"", ""IntelOpenMP_jll"", ""ColorSchemes"", ""Distances"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""IterTools"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Crayons"", ""POMDPPolicies"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""POMDPSimulators"", ""Clustering"", ""Zygote"", ""QuartzImageIO"", ""IRTools"", ""ArrayLayouts"", ""LLVM"", ""CUDAnative"", ""FFTW_jll"", ""StatsBase"", ""Parsers"", ""Graphics"", ""NearestNeighbors"", ""Colors"", ""MacroTools"", ""NamedTuples"", ""CustomUnitRanges"", ""ImageMorphology"", ""DataStructures"", ""CuArrays"", ""Adapt"", ""Zstd_jll"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""PyCall"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""PGFPlotsX"", ""MappedArrays"", ""DataValueInterfaces"", ""ZygoteRules"", ""Arpack_jll"", ""IdentityRanges"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""ImageMagick"", ""Calculus"", ""SpecialFunctions"", ""DataFrames"", ""Distributions"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""PDMats"", ""CUDAdrv"", ""ImageShow"", ""DocStringExtensions"", ""NaNMath"", ""Rmath"", ""DiffRules"", ""libpng_jll"", ""FFTW"", ""ForwardDiff"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""ReinforcementLearningEnvironments"", ""DualNumbers"", ""ReinforcementLearningCore"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""DataStreams"", ""LightGraphs"", ""DiffResults"", ""Libtiff_jll"", ""Compose"", ""Tables"", ""ComputationalResources"", ""Ratios"", ""DefaultApplication"", ""ArgCheck""]"
ReinforcementLearningEnvironmentClassicControl,JuliaReinforcementLearning,"[""GR"", ""Compat"", ""ReinforcementLearningBase"", ""Reexport"", ""ReinforcementLearning""]","[""BeliefUpdaters"", ""ColorVectorSpace"", ""RecipesBase"", ""AbstractFFTs"", ""FixedPointNumbers"", ""PooledArrays"", ""Polynomials"", ""FileIO"", ""ImageCore"", ""MKL_jll"", ""ImageDistances"", ""CommonSubexpressions"", ""Images"", ""IntervalSets"", ""Zlib_jll"", ""FillArrays"", ""PaddedViews"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""ImageFiltering"", ""POMDPs"", ""ZipFile"", ""Media"", ""ColorTypes"", ""ReinforcementLearningEnvironmentDiscrete"", ""GPUArrays"", ""NamedTupleTools"", ""Inflate"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""TiledIteration"", ""AbstractTrees"", ""InvertedIndices"", ""Lazy"", ""IndirectArrays"", ""CEnum"", ""Requires"", ""Missings"", ""ProgressMeter"", ""ReinforcementLearningZoo"", ""Flux"", ""StaticArrays"", ""RangeArrays"", ""Parameters"", ""UnicodePlots"", ""Tokenize"", ""Interpolations"", ""VersionParsing"", ""CoordinateTransformations"", ""POMDPModelTools"", ""OffsetArrays"", ""EllipsisNotation"", ""CategoricalArrays"", ""GZip"", ""StatsFuns"", ""Measures"", ""JLD2"", ""ImageTransformations"", ""TranscodingStreams"", ""TimerOutputs"", ""CodecZlib"", ""Tracker"", ""ArnoldiMethod"", ""POMDPModels"", ""IntelOpenMP_jll"", ""ColorSchemes"", ""Distances"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""IterTools"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Crayons"", ""POMDPPolicies"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""POMDPSimulators"", ""Clustering"", ""Zygote"", ""QuartzImageIO"", ""IRTools"", ""ArrayLayouts"", ""LLVM"", ""CUDAnative"", ""FFTW_jll"", ""StatsBase"", ""Parsers"", ""Graphics"", ""NearestNeighbors"", ""Colors"", ""MacroTools"", ""NamedTuples"", ""CustomUnitRanges"", ""ImageMorphology"", ""DataStructures"", ""CuArrays"", ""Adapt"", ""Zstd_jll"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""PyCall"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""PGFPlotsX"", ""MappedArrays"", ""DataValueInterfaces"", ""ZygoteRules"", ""Arpack_jll"", ""IdentityRanges"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""ImageMagick"", ""Calculus"", ""SpecialFunctions"", ""DataFrames"", ""Distributions"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""PDMats"", ""CUDAdrv"", ""ImageShow"", ""DocStringExtensions"", ""NaNMath"", ""Rmath"", ""DiffRules"", ""libpng_jll"", ""FFTW"", ""ForwardDiff"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""ReinforcementLearningEnvironments"", ""DualNumbers"", ""ReinforcementLearningCore"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""DataStreams"", ""LightGraphs"", ""DiffResults"", ""Libtiff_jll"", ""Compose"", ""Tables"", ""ComputationalResources"", ""Ratios"", ""DefaultApplication"", ""ArgCheck""]"
ReinforcementLearningEnvironmentDiscrete,JuliaReinforcementLearning,"[""GR"", ""ReinforcementLearningBase"", ""StatsBase"", ""Compat"", ""ReinforcementLearning"", ""POMDPModels"", ""POMDPs"", ""Parameters"", ""Reexport""]","[""AbstractFFTs"", ""Polynomials"", ""MKL_jll"", ""CommonSubexpressions"", ""Images"", ""IntervalSets"", ""Zlib_jll"", ""PaddedViews"", ""OrderedCollections"", ""ImageFiltering"", ""Media"", ""ColorTypes"", ""Inflate"", ""FFTViews"", ""Lazy"", ""IndirectArrays"", ""Requires"", ""ProgressMeter"", ""RangeArrays"", ""VersionParsing"", ""EllipsisNotation"", ""CategoricalArrays"", ""Measures"", ""ImageTransformations"", ""CodecZlib"", ""Tracker"", ""Rmath_jll"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""IterTools"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""POMDPSimulators"", ""Clustering"", ""IRTools"", ""ArrayLayouts"", ""FFTW_jll"", ""Graphics"", ""MacroTools"", ""NamedTuples"", ""CustomUnitRanges"", ""Adapt"", ""Zstd_jll"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""PGFPlotsX"", ""ZygoteRules"", ""Arpack_jll"", ""IteratorInterfaceExtensions"", ""DataFrames"", ""Distributions"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""CUDAdrv"", ""NaNMath"", ""Rmath"", ""DiffRules"", ""FFTW"", ""ForwardDiff"", ""ReinforcementLearningEnvironments"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""DataStreams"", ""LightGraphs"", ""Compose"", ""Tables"", ""ComputationalResources"", ""Ratios"", ""BeliefUpdaters"", ""ColorVectorSpace"", ""RecipesBase"", ""FixedPointNumbers"", ""PooledArrays"", ""FileIO"", ""ImageCore"", ""ImageDistances"", ""FillArrays"", ""Arpack"", ""Juno"", ""ZipFile"", ""GPUArrays"", ""NamedTupleTools"", ""WoodburyMatrices"", ""JSON"", ""TiledIteration"", ""AbstractTrees"", ""InvertedIndices"", ""CEnum"", ""Missings"", ""ReinforcementLearningZoo"", ""Flux"", ""StaticArrays"", ""UnicodePlots"", ""Tokenize"", ""Interpolations"", ""CoordinateTransformations"", ""POMDPModelTools"", ""OffsetArrays"", ""GZip"", ""StatsFuns"", ""JLD2"", ""TranscodingStreams"", ""TimerOutputs"", ""ArnoldiMethod"", ""IntelOpenMP_jll"", ""ColorSchemes"", ""Distances"", ""QuadGK"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Crayons"", ""POMDPPolicies"", ""Zygote"", ""QuartzImageIO"", ""LLVM"", ""CUDAnative"", ""Parsers"", ""NearestNeighbors"", ""Colors"", ""ImageMorphology"", ""DataStructures"", ""CuArrays"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""PyCall"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""MappedArrays"", ""DataValueInterfaces"", ""IdentityRanges"", ""CUDAapi"", ""ImageMagick"", ""Calculus"", ""SpecialFunctions"", ""PDMats"", ""ImageShow"", ""DocStringExtensions"", ""libpng_jll"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""DualNumbers"", ""ReinforcementLearningCore"", ""DiffResults"", ""Libtiff_jll"", ""DefaultApplication"", ""ArgCheck""]"
ReinforcementLearningEnvironmentGym,JuliaReinforcementLearning,"[""ReinforcementLearningBase"", ""PyCall"", ""Reexport"", ""ReinforcementLearning""]","[""BeliefUpdaters"", ""ColorVectorSpace"", ""RecipesBase"", ""AbstractFFTs"", ""FixedPointNumbers"", ""PooledArrays"", ""Polynomials"", ""FileIO"", ""ImageCore"", ""MKL_jll"", ""ImageDistances"", ""CommonSubexpressions"", ""Images"", ""IntervalSets"", ""Zlib_jll"", ""FillArrays"", ""PaddedViews"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""ImageFiltering"", ""Compat"", ""POMDPs"", ""ZipFile"", ""Media"", ""ColorTypes"", ""ReinforcementLearningEnvironmentDiscrete"", ""GPUArrays"", ""NamedTupleTools"", ""Inflate"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""TiledIteration"", ""AbstractTrees"", ""InvertedIndices"", ""Lazy"", ""IndirectArrays"", ""CEnum"", ""Requires"", ""Missings"", ""ProgressMeter"", ""ReinforcementLearningZoo"", ""Flux"", ""StaticArrays"", ""RangeArrays"", ""Parameters"", ""UnicodePlots"", ""Tokenize"", ""Interpolations"", ""VersionParsing"", ""CoordinateTransformations"", ""POMDPModelTools"", ""OffsetArrays"", ""EllipsisNotation"", ""CategoricalArrays"", ""GZip"", ""StatsFuns"", ""Measures"", ""JLD2"", ""ImageTransformations"", ""TranscodingStreams"", ""GR"", ""TimerOutputs"", ""CodecZlib"", ""Tracker"", ""ArnoldiMethod"", ""POMDPModels"", ""IntelOpenMP_jll"", ""ColorSchemes"", ""Distances"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""IterTools"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Crayons"", ""POMDPPolicies"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""POMDPSimulators"", ""Clustering"", ""Zygote"", ""QuartzImageIO"", ""IRTools"", ""ArrayLayouts"", ""LLVM"", ""CUDAnative"", ""FFTW_jll"", ""StatsBase"", ""Parsers"", ""Graphics"", ""NearestNeighbors"", ""Colors"", ""MacroTools"", ""NamedTuples"", ""CustomUnitRanges"", ""ImageMorphology"", ""DataStructures"", ""CuArrays"", ""Adapt"", ""Zstd_jll"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""PGFPlotsX"", ""MappedArrays"", ""DataValueInterfaces"", ""ZygoteRules"", ""Arpack_jll"", ""IdentityRanges"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""ImageMagick"", ""Calculus"", ""SpecialFunctions"", ""DataFrames"", ""Distributions"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""PDMats"", ""CUDAdrv"", ""ImageShow"", ""DocStringExtensions"", ""NaNMath"", ""Rmath"", ""DiffRules"", ""libpng_jll"", ""FFTW"", ""ForwardDiff"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""ReinforcementLearningEnvironments"", ""DualNumbers"", ""ReinforcementLearningCore"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""DataStreams"", ""LightGraphs"", ""DiffResults"", ""Libtiff_jll"", ""Compose"", ""Tables"", ""ComputationalResources"", ""Ratios"", ""DefaultApplication"", ""ArgCheck""]"
ReinforcementLearningEnvironments,JuliaReinforcementLearning,"[""GR"", ""Distributions"", ""ReinforcementLearningBase"", ""StatsBase"", ""POMDPModels"", ""POMDPs"", ""Requires"", ""Reexport""]","[""BeliefUpdaters"", ""ColorVectorSpace"", ""RecipesBase"", ""AbstractFFTs"", ""FixedPointNumbers"", ""PooledArrays"", ""Polynomials"", ""FileIO"", ""ImageCore"", ""MKL_jll"", ""ImageDistances"", ""CommonSubexpressions"", ""Images"", ""IntervalSets"", ""Zlib_jll"", ""FillArrays"", ""PaddedViews"", ""Arpack"", ""OrderedCollections"", ""ImageFiltering"", ""Compat"", ""ColorTypes"", ""GPUArrays"", ""NamedTupleTools"", ""Inflate"", ""FFTViews"", ""WoodburyMatrices"", ""JSON"", ""TiledIteration"", ""InvertedIndices"", ""IndirectArrays"", ""CEnum"", ""Missings"", ""ProgressMeter"", ""StaticArrays"", ""RangeArrays"", ""Parameters"", ""UnicodePlots"", ""Tokenize"", ""Interpolations"", ""VersionParsing"", ""CoordinateTransformations"", ""POMDPModelTools"", ""OffsetArrays"", ""EllipsisNotation"", ""CategoricalArrays"", ""StatsFuns"", ""Measures"", ""ImageTransformations"", ""TranscodingStreams"", ""TimerOutputs"", ""CodecZlib"", ""ArnoldiMethod"", ""IntelOpenMP_jll"", ""ColorSchemes"", ""Distances"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""IterTools"", ""JpegTurbo_jll"", ""ImageMetadata"", ""Crayons"", ""POMDPPolicies"", ""Rotations"", ""AxisAlgorithms"", ""TableTraits"", ""ImageMagick_jll"", ""POMDPSimulators"", ""Clustering"", ""QuartzImageIO"", ""LLVM"", ""CUDAnative"", ""FFTW_jll"", ""Parsers"", ""Graphics"", ""NearestNeighbors"", ""Colors"", ""MacroTools"", ""NamedTuples"", ""CustomUnitRanges"", ""ImageMorphology"", ""DataStructures"", ""CuArrays"", ""Adapt"", ""Zstd_jll"", ""ImageQualityIndexes"", ""SortingAlgorithms"", ""CSTParser"", ""URIParser"", ""ImageContrastAdjustment"", ""OpenBLAS_jll"", ""BinaryProvider"", ""MappedArrays"", ""DataValueInterfaces"", ""Arpack_jll"", ""IdentityRanges"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""ImageMagick"", ""Calculus"", ""SpecialFunctions"", ""DataFrames"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""PDMats"", ""CUDAdrv"", ""ImageShow"", ""NaNMath"", ""Rmath"", ""DiffRules"", ""libpng_jll"", ""FFTW"", ""ForwardDiff"", ""AxisArrays"", ""CompilerSupportLibraries_jll"", ""DualNumbers"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""LightGraphs"", ""DataStreams"", ""DiffResults"", ""Libtiff_jll"", ""Compose"", ""Tables"", ""ComputationalResources"", ""Ratios""]"
